item_id	level	deck_id	source_position	pattern	meaning	usage	example_jp	example_vi	tags	status
N4-GRAMMAR-2066	N4	n4_grammar_jlpt	2066	A（い、na）／V（ます） + すぎる	Quá ~/Làm ~ quá		このリンゴは大きすぎる。	Quả táo này quá to.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:17;item:66;frequency:1;exams:T7/2017	ocr_ready
N4-GRAMMAR-2067	N4	n4_grammar_jlpt	2067	V（ます） + やすい／にくい	Dễ ~/Khó ~		この道はすべりやすい。	Con đường này rất dễ bị trơn trượt.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:18;item:67;frequency:1;exams:T12/2013	ocr_ready
N4-GRAMMAR-2068	N4	n4_grammar_jlpt	2068	V1 ます ＋ ながら、V2	Vừa làm V1 vừa làm V2		バイトをしながら、学校に通っている。	Tôi vừa đi học vừa đi làm thêm.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:18;item:68;frequency:1;exams:T7/2025	ocr_ready
N4-GRAMMAR-2069	N4	n4_grammar_jlpt	2069	V てみる	Thử ~		この着物を着てみたいです。	Tôi muốn mặc thử bộ kimono này.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:18;item:69;frequency:1;exams:2010-2011	ocr_ready
N4-GRAMMAR-2070	N4	n4_grammar_jlpt	2070	～と伝える	Nhắn lại là ~/Nói lại rằng ~		後で電話すると伝えてください。	Hãy nhắn lại với anh ấy là tôi sẽ gọi điện sau.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:18;item:70;frequency:1;exams:T12/2013	ocr_ready
N4-GRAMMAR-2071	N4	n4_grammar_jlpt	2071	V る／V ない + ことにする	Quyết định làm/không làm ~	Người nói quyết định	帰国しないことにした。	Tôi đã quyết định không về nước.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:19;item:71;frequency:4;exams:T7/2023,T12/2021,T7/2013,2010-2011	ocr_ready
N4-GRAMMAR-2072	N4	n4_grammar_jlpt	2072	V る／V ない + ことになる	Được quy định, được quyết định	Do tổ chức hoặc người khác quyết định	出張することになっている。	Tôi được quyết định đi công tác.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:19;item:72;frequency:3;exams:T12/2021,T7/2021,T7/2018	ocr_ready
N4-GRAMMAR-2073	N4	n4_grammar_jlpt	2073	〜間（は）、	Trong lúc, trong khi, trong suốt ~	Hai vế diễn ra song song và liên tục.	彼と付き合っている間、毎日幸せだった。	Trong suốt quãng thời gian yêu anh ấy, ngày nào tôi cũng hạnh phúc.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:19;item:73;frequency:8;exams:T7/2025,T7/2024,T7/2023,T7/2021,T7/2018,T7/2017,T12/2013,T12/2012	ocr_ready
N4-GRAMMAR-2074	N4	n4_grammar_jlpt	2074	〜 間に、	Trong lúc, trong khi ~	Vế 2 chỉ xảy ra tại một thời điểm.	日本にいる間に、富士山に登りたい。	Trong lúc ở Nhật, tôi muốn leo núi Phú Sỹ.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:19;item:74	ocr_ready
N4-GRAMMAR-2075	N4	n4_grammar_jlpt	2075	V たい／A い、な ＋ がる	Mong muốn, tâm trạng, cảm xúc ~	Dùng cho ngôi thứ ba	娘はみんなの前で話す時は、恥ずかしがっている。	Khi nói chuyện trước mọi người, con gái tôi hay xấu hổ.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:20;item:75	ocr_ready
N4-GRAMMAR-2076	N4	n4_grammar_jlpt	2076	N + ばかり + V ている	Chỉ toàn ~		ゲームばかりしている。	Chỉ toàn chơi game.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:20;item:76	ocr_ready
N4-GRAMMAR-2077	N4	n4_grammar_jlpt	2077	V させていただけませんか？	Tôi xin phép ~		早く帰らせていただけませんか。	Tôi xin phép về sớm có được không ạ?	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:20;item:77	ocr_ready
N4-GRAMMAR-2078	N4	n4_grammar_jlpt	2078	V ます ＋ 始める／続ける／終わる／きる／なおす／だす	Bắt đầu làm ~/Tiếp tục làm ~/Làm xong ~/Làm hết ~/Làm lại ~/Đột nhiên ~		食べ始める | 食べ続ける | 食べ終わった | 食べきった | 書きなおす | 泣きだす	Bắt đầu ăn | Tiếp tục ăn | Ăn xong | Ăn hết | Viết lại | Đột nhiên khóc	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:20;item:78	ocr_ready
N4-GRAMMAR-2079	N4	n4_grammar_jlpt	2079	〜はずです	Chắc chắn ~		彼はここに来るはずです。	Chắc chắn là anh ấy sẽ đến đây.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:21;item:79	ocr_ready
N4-GRAMMAR-2080	N4	n4_grammar_jlpt	2080	V、A（普）／N + らしい	Nghe nói / Hình như ~		あの二人は来年、結婚するらしいです。	Nghe nói 2 người kia sẽ cưới vào năm sau.	source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:21;item:80	ocr_ready
N4-GRAMMAR-2081	N4	n4_grammar_jlpt	2081	N に似る	Giống với				source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:21;item:1;frequency:2;exams:T7/2017,T12/2012	ocr_ready
N4-GRAMMAR-2082	N4	n4_grammar_jlpt	2082	どういう意味ですか	Có nghĩa như thế nào				source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:21;item:2;frequency:2;exams:T7/2017,T12/2012	ocr_ready
N4-GRAMMAR-2083	N4	n4_grammar_jlpt	2083	一人ずつ	Từng người một				source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:21;item:3;frequency:3;exams:T7/2023,T7/2014,T7/2013	ocr_ready
N4-GRAMMAR-2084	N4	n4_grammar_jlpt	2084	特に	Đặc biệt là				source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:21;item:4;frequency:1;exams:T7/2021	ocr_ready
N4-GRAMMAR-2085	N4	n4_grammar_jlpt	2085	N に遅れる	Đến trễ, đến muộn				source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:21;item:5;frequency:1;exams:T7/2018	ocr_ready
N4-GRAMMAR-2086	N4	n4_grammar_jlpt	2086	N と同じ	Giống với				source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:21;item:6;frequency:1;exams:T7/2021	ocr_ready
N4-GRAMMAR-2087	N4	n4_grammar_jlpt	2087	N1 も N2 も	N1 cũng N2 cũng				source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:21;item:7	ocr_ready
N4-GRAMMAR-2088	N4	n4_grammar_jlpt	2088	N1 か N2	N1 hoặc N2				source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:21;item:8	ocr_ready
N4-GRAMMAR-2089	N4	n4_grammar_jlpt	2089	N と違って	Khác với				source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:21;item:9	ocr_ready
N4-GRAMMAR-2090	N4	n4_grammar_jlpt	2090	一日中 | 世界中	Cả ngày | Khắp thế giới				source_pdf:90 NGỮ PHÁP N4 TRÚNG TỦ JLPT T7.2026 - VÔ DIỆN JP.pdf;page:21;item:10	ocr_ready
